#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8300e-01  -9.5973e-01   3.5847e-05  -9.4857e-04  -4.9229e-04   1.8303e-04   7.0407e-04   2.3369e+04   4.1138e+06   1.9969e+04
  3.9127e-01   3.9130e-01  -9.3829e-01   5.9105e-04   9.2578e-05   6.3085e-04   3.2305e-04   9.6605e-04   3.5247e+04   8.8072e+06   4.2665e+04
  3.9970e-01   3.9974e-01  -9.1696e-01  -2.1981e-04  -2.2536e-04   1.2467e-04   3.0122e-05   9.5139e-04   3.6324e+04   9.0856e+06   4.4006e+04
  4.0831e-01   4.0834e-01  -8.9567e-01  -1.0014e-04   1.3858e-04   4.5848e-04   5.8924e-04   9.3084e-04   3.8000e+04   9.4913e+06   4.5952e+04
  4.1711e-01   4.1716e-01  -8.7431e-01   2.8904e-04  -4.9889e-04  -7.3517e-04   3.7958e-04   9.1040e-04   3.9709e+04   9.9197e+06   4.8067e+04
  4.2610e-01   4.2614e-01  -8.5300e-01   4.9717e-04   1.6621e-04  -1.4229e-04   5.8743e-04   8.8854e-04   4.1586e+04   1.0412e+07   5.0371e+04
  4.3529e-01   4.3532e-01  -8.3169e-01  -1.9860e-04   4.0622e-04  -2.4360e-04  -1.2713e-04   8.7013e-04   4.3394e+04   1.0860e+07   5.2535e+04
  4.4467e-01   4.4472e-01  -8.1033e-01   1.1189e-04   2.2285e-05  -3.2909e-04  -1.3342e-04   8.5326e-04   4.5105e+04   1.1294e+07   5.4664e+04
  4.5425e-01   4.5431e-01  -7.8899e-01  -8.5308e-05  -7.6141e-04   3.4008e-04   6.1997e-04   8.4119e-04   4.6622e+04   1.1615e+07   5.6313e+04
  4.6404e-01   4.6411e-01  -7.6766e-01  -1.5072e-04  -7.7725e-05  -3.2340e-04   3.2389e-04   8.2389e-04   4.8592e+04   1.2120e+07   5.8727e+04
  4.7404e-01   4.7407e-01  -7.4643e-01  -2.6114e-04   2.3396e-04  -3.2622e-04   4.2636e-05   8.0411e-04   5.0725e+04   1.2716e+07   6.1538e+04
  4.8426e-01   4.8431e-01  -7.2505e-01   2.0186e-04  -6.1683e-04  -9.0048e-05  -3.7534e-04   7.8708e-04   5.3021e+04   1.3269e+07   6.4239e+04
  4.9470e-01   4.9474e-01  -7.0374e-01   2.0146e-04  -1.0138e-04   1.9213e-04  -7.0558e-04   7.7095e-04   5.5145e+04   1.3831e+07   6.6876e+04
