#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8307e-01  -9.5956e-01  -9.2558e-04   1.2036e-03   1.9664e-20   5.3827e-04   5.5426e-04   8.1642e+04   4.7878e+06   4.0662e+04
  3.9127e-01   3.9131e-01  -9.3828e-01   5.1710e-04   3.6373e-04   1.0177e-20  -3.0794e-04   6.8717e-04   1.5977e+05   1.3502e+07   1.1126e+05
  3.9970e-01   3.9973e-01  -9.1699e-01   3.9996e-04   5.2841e-04  -2.4790e-20   2.1772e-04   6.7531e-04   1.6583e+05   1.3939e+07   1.1529e+05
  4.0831e-01   4.0837e-01  -8.9561e-01  -4.4074e-04   3.3974e-04  -1.1606e-20  -7.0856e-04   6.6122e-04   1.7278e+05   1.4574e+07   1.2021e+05
  4.1711e-01   4.1715e-01  -8.7432e-01   4.6735e-04  -6.2386e-04  -4.2054e-21   7.9383e-04   6.4754e-04   1.8000e+05   1.5156e+07   1.2533e+05
  4.2610e-01   4.2616e-01  -8.5294e-01   4.4631e-04  -5.0657e-04  -9.3711e-21   3.2228e-04   6.3328e-04   1.8774e+05   1.5784e+07   1.3048e+05
  4.3529e-01   4.3532e-01  -8.3170e-01   3.2212e-04   3.2030e-05   1.9924e-20   2.9575e-05   6.2103e-04   1.9507e+05   1.6482e+07   1.3594e+05
  4.4467e-01   4.4472e-01  -8.1033e-01   1.1363e-04   1.7467e-04   1.8699e-20  -1.8019e-04   6.0925e-04   2.0179e+05   1.7065e+07   1.4032e+05
  4.5425e-01   4.5428e-01  -7.8907e-01   7.5120e-04  -2.1561e-04   1.1163e-20   4.0843e-04   5.9690e-04   2.1044e+05   1.7766e+07   1.4663e+05
  4.6404e-01   4.6410e-01  -7.6768e-01  -6.5317e-05  -3.2179e-04  -6.5286e-21  -9.3155e-05   5.8305e-04   2.2094e+05   1.8641e+07   1.5409e+05
  4.7404e-01   4.7410e-01  -7.4636e-01  -6.3068e-04   3.7113e-04   4.3120e-21  -6.0175e-05   5.7435e-04   2.2897e+05   1.9239e+07   1.5907e+05
  4.8426e-01   4.8432e-01  -7.2503e-01   6.1279e-04  -3.6765e-04  -1.7770e-20   3.9478e-04   5.6220e-04   2.3909e+05   2.0084e+07   1.6608e+05
  4.9470e-01   4.9475e-01  -7.0372e-01  -5.2846e-05  -3.5191e-04  -1.7029e-20   3.7474e-04   5.4798e-04   2.4932e+05   2.1106e+07   1.7376e+05
  5.0536e-01   5.0540e-01  -6.8242e-01  -3.2974e-04   3.7732e-04   3.1003e-20  -3.8886e-04   5.4168e-04   2.5959e+05   2.1754e+07   1.7975e+05
  5.1625e-01   5.1628e-01  -6.6112e-01   2.6244e-04   6.5211e-04  -2.7682e-21   1.9450e-05   5.2745e-04   2.6975e+05   2.2794e+07   1.8778e+05
  5.2738e-01   5.2742e-01  -6.3978e-01  -1.7317e-04   5.4342e-05  -1.2601e-20  -5.7479e-06   5.1719e-04   2.8102e+05   2.3684e+07   1.9523e+05
  5.3874e-01   5.3880e-01  -6.1844e-01   7.0158e-04  -1.3795e-04  -4.3977e-21   3.9742e-04   5.0880e-04   2.9225e+05   2.4585e+07   2.0380e+05
  5.5035e-01   5.5041e-01  -5.9711e-01  -6.6423e-05  -4.9544e-04   1.1302e-20   4.7532e-04   4.9641e-04   3.0587e+05   2.5734e+07   2.1279e+05
  5.6222e-01   5.6226e-01  -5.7581e-01   3.2933e-04  -6.8181e-04  -2.9882e-20   2.2663e-04   4.8592e-04   3.1886e+05   2.6834e+07   2.2184e+05
  5.7433e-01   5.7439e-01  -5.5446e-01   4.4415e-04  -2.6112e-04   6.0413e-20   4.3555e-04   4.7614e-04   3.3242e+05   2.8059e+07   2.3167e+05
  5.8671e-01   5.8676e-01  -5.3316e-01   4.5201e-04  -2.7044e-04   1.4197e-21  -1.3519e-04   4.6888e-04   3.4493e+05   2.8962e+07   2.3927e+05
  5.9936e-01   5.9940e-01  -5.1184e-01   1.8022e-04   5.2479e-06  -2.5472e-20  -5.9433e-05   4.5907e-04   3.5903e+05   3.0231e+07   2.4985e+05
  6.1227e-01   6.1233e-01  -4.9051e-01   9.3912e-04  -5.8776e-04  -2.2637e-20   1.2230e-05   4.4985e-04   3.7413e+05   3.1483e+07   2.5990e+05
  6.2547e-01   6.2553e-01  -4.6918e-01   4.5822e-04   2.2879e-04  -4.8309e-20  -3.6791e-04   4.4073e-04   3.8939e+05   3.2764e+07   2.7077e+05
  6.3895e-01   6.3901e-01  -4.4785e-01   4.0141e-04   6.7689e-04  -1.9270e-20  -9.2753e-05   4.3295e-04   4.0516e+05   3.3930e+07   2.8145e+05
  6.5272e-01   6.5278e-01  -4.2653e-01   1.5340e-04   1.2313e-04  -4.5498e-20  -2.2683e-04   4.2254e-04   4.2331e+05   3.5513e+07   2.9367e+05
  6.6679e-01   6.6685e-01  -4.0522e-01   2.0786e-04  -7.9302e-05   3.5794e-20   5.6439e-04   4.1467e-04   4.4061e+05   3.6970e+07   3.0565e+05
  6.8116e-01   6.8123e-01  -3.8388e-01  -2.4467e-04   3.7481e-04  -3.6855e-20   5.1354e-04   4.0621e-04   4.5969e+05   3.8518e+07   3.1882e+05
  6.9584e-01   6.9590e-01  -3.6257e-01   8.6373e-04   3.7278e-04  -4.2150e-20   1.5645e-04   3.9811e-04   4.7741e+05   4.0053e+07   3.3143e+05
  7.1083e-01   7.1089e-01  -3.4125e-01   3.2728e-04  -1.3363e-04   3.0012e-20   8.2808e-05   3.8962e-04   4.9977e+05   4.1829e+07   3.4683e+05
