#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8303e-01  -9.5966e-01   4.3209e-04   8.7403e-04  -1.5998e-20   6.4743e-04   4.6203e-04   7.3428e+04   6.2180e+06   4.2706e+04
  3.9127e-01   3.9130e-01  -9.3830e-01   9.4862e-04  -1.3711e-03  -1.9420e-20  -1.1415e-04   5.9981e-04   1.2539e+05   1.5396e+07   1.0368e+05
  3.9970e-01   3.9974e-01  -9.1695e-01  -5.8077e-04  -5.9023e-04  -7.9456e-21   2.4061e-04   5.8533e-04   1.3103e+05   1.6159e+07   1.0842e+05
  4.0831e-01   4.0833e-01  -8.9569e-01  -1.5745e-04  -9.1180e-04  -1.6319e-20   1.0771e-05   5.7593e-04   1.3635e+05   1.6718e+07   1.1267e+05
  4.1711e-01   4.1714e-01  -8.7435e-01  -4.4449e-04  -3.0482e-04   5.5915e-21  -1.1576e-04   5.6231e-04   1.4204e+05   1.7495e+07   1.1768e+05
  4.2610e-01   4.2614e-01  -8.5301e-01   6.3049e-05  -3.9503e-04  -2.9697e-20   7.7318e-04   5.5394e-04   1.4682e+05   1.8099e+07   1.2167e+05
  4.3529e-01   4.3534e-01  -8.3164e-01   1.8924e-04   2.0983e-05  -1.7284e-20  -2.8914e-04   5.4135e-04   1.5348e+05   1.8888e+07   1.2713e+05
  4.4467e-01   4.4473e-01  -8.1031e-01  -6.6132e-05  -5.5154e-04  -4.3660e-20  -3.9712e-04   5.3137e-04   1.5978e+05   1.9666e+07   1.3243e+05
  4.5425e-01   4.5430e-01  -7.8901e-01  -5.9067e-04  -3.3338e-06  -1.6320e-20  -2.0868e-04   5.2201e-04   1.6474e+05   2.0319e+07   1.3645e+05
  4.6404e-01   4.6410e-01  -7.6768e-01   2.6314e-04   1.6428e-04  -3.4339e-20  -3.0268e-04   5.1221e-04   1.7145e+05   2.1098e+07   1.4227e+05
  4.7404e-01   4.7408e-01  -7.4640e-01   1.5297e-04  -6.4806e-04  -1.0984e-20   5.3630e-05   5.0078e-04   1.7924e+05   2.2113e+07   1.4874e+05
  4.8426e-01   4.8431e-01  -7.2505e-01   7.3574e-04  -7.5554e-05  -2.4773e-20  -1.0081e-03   4.9076e-04   1.8643e+05   2.2991e+07   1.5476e+05
  4.9470e-01   4.9475e-01  -7.0371e-01   2.0899e-04  -6.2558e-04  -1.3708e-20  -1.0736e-05   4.8077e-04   1.9509e+05   2.3948e+07   1.6165e+05
  5.0536e-01   5.0543e-01  -6.8237e-01  -4.4489e-04  -3.2488e-04   3.5314e-22  -4.2580e-04   4.7343e-04   2.0171e+05   2.4711e+07   1.6672e+05
  5.1625e-01   5.1629e-01  -6.6112e-01   4.9089e-04  -1.0284e-04   2.5218e-20  -9.3027e-05   4.6369e-04   2.1091e+05   2.5794e+07   1.7430e+05
  5.2738e-01   5.2743e-01  -6.3977e-01  -8.7248e-05  -4.3160e-05  -1.4074e-20   2.5470e-04   4.5471e-04   2.1860e+05   2.6783e+07   1.8075e+05
  5.3874e-01   5.3878e-01  -6.1847e-01   2.4435e-04   1.3595e-05  -5.9123e-21  -5.3141e-05   4.4516e-04   2.2836e+05   2.8026e+07   1.8909e+05
  5.5035e-01   5.5040e-01  -5.9713e-01  -3.3522e-04  -9.5909e-05  -1.8945e-21  -2.9720e-05   4.3725e-04   2.3670e+05   2.8998e+07   1.9619e+05
  5.6222e-01   5.6226e-01  -5.7581e-01   2.4046e-04   4.5714e-04   1.2193e-20   2.0311e-05   4.2815e-04   2.4639e+05   3.0217e+07   2.0378e+05
  5.7433e-01   5.7439e-01  -5.5446e-01  -1.1688e-04  -2.4074e-04  -3.2849e-20   1.9672e-04   4.2078e-04   2.5557e+05   3.1342e+07   2.1147e+05
  5.8671e-01   5.8676e-01  -5.3316e-01   3.0989e-04  -4.2622e-04   2.4708e-20   1.7031e-04   4.1172e-04   2.6689e+05   3.2718e+07   2.2067e+05
  5.9936e-01   5.9942e-01  -5.1182e-01  -9.8339e-05   4.0223e-04   1.0661e-20   2.2108e-04   4.0229e-04   2.7880e+05   3.4208e+07   2.3082e+05
  6.1227e-01   6.1232e-01  -4.9053e-01   5.3067e-05   2.0072e-04  -2.0930e-20  -1.9802e-04   3.9495e-04   2.8984e+05   3.5498e+07   2.3985e+05
  6.2547e-01   6.2551e-01  -4.6920e-01   2.4107e-04   6.3314e-04  -3.0556e-21   2.7388e-04   3.8772e-04   3.0102e+05   3.6879e+07   2.4837e+05
  6.3895e-01   6.3902e-01  -4.4784e-01  -1.4812e-04   2.1610e-04  -3.4772e-21   2.8216e-04   3.8065e-04   3.1355e+05   3.8279e+07   2.5852e+05
  6.5272e-01   6.5278e-01  -4.2654e-01   3.1069e-04   1.2236e-05   4.1558e-20   1.3302e-04   3.7382e-04   3.2527e+05   3.9726e+07   2.6835e+05
