#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8305e-01  -9.5962e-01  -1.8988e-04   3.6406e-04   2.6035e-20  -8.5131e-04   3.4213e-04   1.4025e+05   1.7604e+07   9.7886e+04
  3.9127e-01   3.9131e-01  -9.3829e-01   3.6228e-04   2.1689e-04   2.0750e-20   3.3451e-05   4.5921e-04   2.2011e+05   3.9980e+07   2.1983e+05
  3.9970e-01   3.9974e-01  -9.1697e-01  -2.4083e-04   3.3446e-05  -2.2366e-20   5.7267e-04   4.5029e-04   2.2960e+05   4.1610e+07   2.2897e+05
  4.0831e-01   4.0834e-01  -8.9567e-01   6.6972e-04  -4.5099e-04   9.7139e-21  -3.3711e-05   4.4393e-04   2.3760e+05   4.2787e+07   2.3592e+05
  4.1711e-01   4.1714e-01  -8.7436e-01   3.1932e-05  -6.3382e-04  -3.2393e-21  -1.1730e-04   4.3218e-04   2.4866e+05   4.5128e+07   2.4814e+05
  4.2610e-01   4.2615e-01  -8.5300e-01   3.3642e-04   3.5546e-04   1.4029e-20   2.0945e-04   4.2488e-04   2.5769e+05   4.6703e+07   2.5689e+05
  4.3529e-01   4.3534e-01  -8.3163e-01   1.5143e-04  -3.1074e-04   5.2847e-21   1.2522e-06   4.1588e-04   2.6947e+05   4.8767e+07   2.6844e+05
  4.4467e-01   4.4470e-01  -8.1038e-01   1.2341e-04   3.7043e-04  -9.4444e-22  -7.3512e-05   4.0773e-04   2.7979e+05   5.0725e+07   2.7912e+05
  4.5425e-01   4.5430e-01  -7.8902e-01   3.7368e-05  -5.8437e-05   1.3378e-20   2.5122e-05   3.9942e-04   2.9226e+05   5.2880e+07   2.9104e+05
  4.6404e-01   4.6409e-01  -7.6770e-01   2.2974e-04   3.7110e-04  -5.2980e-21  -1.1666e-04   3.9154e-04   3.0461e+05   5.4983e+07   3.0324e+05
  4.7404e-01   4.7409e-01  -7.4637e-01   3.0546e-04   1.3289e-05  -2.3461e-21  -1.2710e-04   3.8410e-04   3.1601e+05   5.7139e+07   3.1460e+05
  4.8426e-01   4.8432e-01  -7.2503e-01   4.8989e-04  -4.0825e-04  -8.8502e-21   3.2522e-05   3.7750e-04   3.2755e+05   5.9180e+07   3.2580e+05
  4.9470e-01   4.9474e-01  -7.0374e-01   1.4544e-04  -1.5893e-04  -8.0359e-21  -1.5225e-04   3.6990e-04   3.4221e+05   6.1659e+07   3.3982e+05
  5.0536e-01   5.0541e-01  -6.8241e-01  -4.2450e-04   5.7901e-05  -2.1348e-20  -2.6363e-04   3.6158e-04   3.5725e+05   6.4479e+07   3.5532e+05
  5.1625e-01   5.1630e-01  -6.6109e-01   3.4874e-04  -8.6877e-05   6.6353e-21   6.3076e-04   3.5481e-04   3.7133e+05   6.7002e+07   3.6918e+05
  5.2738e-01   5.2742e-01  -6.3976e-01   3.3724e-04  -2.3895e-04  -4.4655e-20  -1.3172e-04   3.4730e-04   3.8745e+05   6.9898e+07   3.8506e+05
  5.3874e-01   5.3879e-01  -6.1845e-01   1.3309e-04   1.2848e-04  -1.0188e-21  -3.2111e-04   3.4118e-04   4.0209e+05   7.2516e+07   3.9958e+05
