#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8303e-01  -9.5965e-01   3.5569e-04   1.7648e-04  -2.4074e-04   3.6361e-04   4.1434e-04   8.0941e+04   1.1171e+07   5.9926e+04
  3.9127e-01   3.9131e-01  -9.3828e-01   2.4520e-04   2.0861e-04  -5.3626e-04   1.9639e-04   5.6279e-04   1.2377e+05   2.4565e+07   1.3066e+05
  3.9970e-01   3.9974e-01  -9.1695e-01  -1.2912e-04  -3.5668e-04  -9.1209e-05   4.2615e-06   5.5190e-04   1.2868e+05   2.5537e+07   1.3594e+05
  4.0831e-01   4.0836e-01  -8.9563e-01   7.5937e-05   2.6858e-04   2.6312e-04   1.1116e-04   5.4042e-04   1.3428e+05   2.6629e+07   1.4171e+05
  4.1711e-01   4.1716e-01  -8.7430e-01   4.7647e-04   3.0248e-04   1.4931e-04   2.1966e-04   5.2813e-04   1.4035e+05   2.7889e+07   1.4829e+05
  4.2610e-01   4.2615e-01  -8.5299e-01   6.1348e-04   1.9714e-04  -1.1806e-04   4.1515e-04   5.1897e-04   1.4564e+05   2.8879e+07   1.5370e+05
  4.3529e-01   4.3534e-01  -8.3166e-01  -5.3940e-05   6.6768e-05   9.5195e-05   5.2187e-05   5.0847e-04   1.5168e+05   3.0095e+07   1.6009e+05
  4.4467e-01   4.4470e-01  -8.1036e-01   6.8253e-04  -3.1583e-04  -1.9193e-04   5.6408e-04   4.9768e-04   1.5838e+05   3.1404e+07   1.6711e+05
  4.5425e-01   4.5429e-01  -7.8903e-01  -2.2039e-04   1.6397e-04   2.8532e-05  -9.5853e-05   4.8705e-04   1.6559e+05   3.2794e+07   1.7451e+05
  4.6404e-01   4.6409e-01  -7.6770e-01  -2.9174e-04   1.3611e-04   1.4858e-04  -3.2222e-04   4.7787e-04   1.7153e+05   3.4065e+07   1.8115e+05
  4.7404e-01   4.7410e-01  -7.4636e-01  -1.8455e-05  -1.3786e-04  -1.0020e-04   4.7447e-05   4.6798e-04   1.7946e+05   3.5536e+07   1.8922e+05
  4.8426e-01   4.8431e-01  -7.2505e-01  -1.1084e-04  -3.4021e-04   1.1739e-04   1.8186e-04   4.5835e-04   1.8668e+05   3.7040e+07   1.9707e+05
  4.9470e-01   4.9474e-01  -7.0374e-01   1.4606e-04   3.3359e-05   8.3150e-06   3.2975e-04   4.4923e-04   1.9436e+05   3.8547e+07   2.0518e+05
  5.0536e-01   5.0540e-01  -6.8242e-01   8.4984e-05  -9.1380e-05  -2.2917e-04  -1.0957e-04   4.3962e-04   2.0283e+05   4.0257e+07   2.1425e+05
  5.1625e-01   5.1631e-01  -6.6108e-01   1.8576e-04  -1.6429e-04  -1.4026e-07   1.0847e-04   4.3195e-04   2.1052e+05   4.1700e+07   2.2210e+05
  5.2738e-01   5.2742e-01  -6.3978e-01  -1.3418e-05  -2.2448e-04   1.1355e-04  -4.1342e-04   4.2325e-04   2.1938e+05   4.3435e+07   2.3127e+05
  5.3874e-01   5.3879e-01  -6.1845e-01   1.7673e-04   7.2656e-05  -5.1120e-05   7.1701e-05   4.1401e-04   2.2884e+05   4.5407e+07   2.4169e+05
