#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8303e-01  -9.5967e-01   4.0330e-04  -4.1118e-04  -1.0187e-03   4.3309e-04   8.0481e-04   2.6657e+04   2.8579e+06   1.7922e+04
  3.9127e-01   3.9130e-01  -9.3830e-01  -5.8294e-04   7.5849e-06  -6.2115e-04   3.7703e-04   1.0467e-03   4.5197e+04   6.9671e+06   4.3074e+04
  3.9970e-01   3.9973e-01  -9.1699e-01  -5.8144e-04   1.6189e-04   3.4826e-04   1.0064e-03   1.0252e-03   4.7371e+04   7.2521e+06   4.4932e+04
  4.0831e-01   4.0836e-01  -8.9561e-01   9.3176e-05   4.2007e-04  -2.3143e-04  -3.3748e-04   1.0039e-03   4.9281e+04   7.5527e+06   4.6824e+04
  4.1711e-01   4.1715e-01  -8.7432e-01  -3.2510e-04  -2.7833e-04  -3.1481e-04  -3.3064e-04   9.7692e-04   5.1955e+04   7.9849e+06   4.9387e+04
  4.2610e-01   4.2613e-01  -8.5302e-01   3.7866e-04   8.5946e-04  -4.3843e-04   2.6333e-04   9.6222e-04   5.3825e+04   8.2391e+06   5.1106e+04
  4.3529e-01   4.3534e-01  -8.3165e-01   5.2320e-04  -7.2269e-04  -7.8424e-04   5.6688e-06   9.3855e-04   5.6546e+04   8.6636e+06   5.3658e+04
  4.4467e-01   4.4470e-01  -8.1038e-01  -3.4143e-04  -2.9660e-04  -6.7916e-05   5.9737e-04   9.2055e-04   5.8599e+04   9.0106e+06   5.5703e+04
  4.5425e-01   4.5430e-01  -7.8902e-01   5.8167e-04  -5.4703e-04   2.0075e-04  -6.2511e-04   9.0485e-04   6.0609e+04   9.3101e+06   5.7601e+04
  4.6404e-01   4.6408e-01  -7.6771e-01  -6.7659e-04   2.2546e-04   3.6262e-04   3.7691e-04   8.8288e-04   6.3574e+04   9.7754e+06   6.0506e+04
  4.7404e-01   4.7409e-01  -7.4638e-01   1.5548e-04  -1.3143e-04   2.7562e-04   3.1903e-04   8.6618e-04   6.6229e+04   1.0163e+07   6.2860e+04
  4.8426e-01   4.8429e-01  -7.2509e-01   1.0033e-04  -3.2645e-04   7.6422e-05  -1.6406e-04   8.5024e-04   6.8889e+04   1.0547e+07   6.5412e+04
  4.9470e-01   4.9474e-01  -7.0374e-01   1.2262e-05   2.5158e-04   6.9968e-04  -7.4185e-04   8.3335e-04   7.1879e+04   1.0978e+07   6.8100e+04
  5.0536e-01   5.0541e-01  -6.8241e-01   4.5633e-04   2.8728e-04   2.2905e-04   2.7473e-04   8.1519e-04   7.5116e+04   1.1499e+07   7.1241e+04
  5.1625e-01   5.1630e-01  -6.6109e-01  -4.4706e-05   6.6139e-04  -6.6077e-05   6.3279e-04   7.9408e-04   7.8707e+04   1.2083e+07   7.4821e+04
  5.2738e-01   5.2743e-01  -6.3976e-01   8.0474e-05  -2.7470e-04   8.2534e-04   9.9471e-05   7.7814e-04   8.2197e+04   1.2610e+07   7.8021e+04
  5.3874e-01   5.3878e-01  -6.1847e-01  -6.0250e-05  -2.4143e-04   1.3666e-04  -2.4356e-04   7.6255e-04   8.5668e+04   1.3122e+07   8.1375e+04
  5.5035e-01   5.5041e-01  -5.9710e-01   3.0618e-05   7.1030e-04  -3.0956e-04  -1.9506e-04   7.4651e-04   8.9278e+04   1.3705e+07   8.4861e+04
  5.6222e-01   5.6226e-01  -5.7581e-01  -1.8109e-04  -2.3003e-04  -4.3755e-04  -7.0850e-04   7.3229e-04   9.2939e+04   1.4244e+07   8.8110e+04
  5.7433e-01   5.7441e-01  -5.5444e-01  -1.4359e-04   4.7158e-04   5.6763e-04  -2.6957e-05   7.1613e-04   9.7057e+04   1.4874e+07   9.2106e+04
  5.8671e-01   5.8676e-01  -5.3316e-01   4.4414e-04   5.5885e-04   1.5419e-04  -4.5702e-04   7.0205e-04   1.0098e+05   1.5486e+07   9.5785e+04
  5.9936e-01   5.9943e-01  -5.1180e-01  -4.9800e-05   5.4517e-04   1.3408e-04   1.5543e-04   6.8513e-04   1.0576e+05   1.6253e+07   1.0057e+05
  6.1227e-01   6.1235e-01  -4.9047e-01   1.6237e-05  -3.7510e-05  -2.3631e-04   4.1857e-04   6.7148e-04   1.1009e+05   1.6920e+07   1.0473e+05
  6.2547e-01   6.2552e-01  -4.6920e-01  -1.1909e-04   7.1304e-05   2.3970e-04  -7.0735e-04   6.5859e-04   1.1454e+05   1.7600e+07   1.0891e+05
  6.3895e-01   6.3899e-01  -4.4788e-01   1.5858e-04   2.3359e-04  -4.4226e-04   1.7221e-04   6.4458e-04   1.1948e+05   1.8383e+07   1.1370e+05
  6.5272e-01   6.5278e-01  -4.2654e-01  -3.7147e-04   2.3165e-04  -2.0719e-04  -1.4450e-04   6.3109e-04   1.2468e+05   1.9135e+07   1.1869e+05
  6.6679e-01   6.6686e-01  -4.0520e-01   2.8957e-04   8.4267e-05   1.5784e-04   2.3247e-04   6.1963e-04   1.2976e+05   1.9893e+07   1.2326e+05
  6.8116e-01   6.8123e-01  -3.8387e-01  -1.0876e-04  -2.0552e-04   1.3954e-04  -5.5148e-05   6.0622e-04   1.3562e+05   2.0771e+07   1.2868e+05
