#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  5.0040e-01   5.0041e-01  -6.9234e-01   3.1932e-04  -8.1384e-04   2.6744e-03  -1.2766e-03   2.1108e-03   3.1390e+03   3.9467e+05   2.2404e+03
  5.012000000000e-01   5.012054001786e-01  -6.907391996427e-01  -1.712391384412e-03  -1.504104726030e-03  -8.240850413576e-04   1.201585128578e-03   2.793154736136e-03   5.017680739146e+03   9.194400000000e+05   5.150200000000e+03
  5.020000000000e-01   5.020100000000e-01  -6.891400000000e-01   5.364257113561e-04  -2.057083542681e-03  -1.114720456293e-03   1.074841040759e-03   2.818909367113e-03   4.895581783609e+03   9.066200000000e+05   5.071300000000e+03
  5.028100000000e-01   5.028100000000e-01  -6.875443926084e-01   2.357601812282e-04   1.734631223488e-03  -2.349113932415e-03   2.344291837211e-03   2.839667214657e-03   4.956661477245e+03   8.983900000000e+05   5.054400000000e+03
  5.036100000000e-01   5.036100000000e-01  -6.859545467953e-01  -1.076528168125e-03   4.039315390138e-04  -2.005696811752e-03  -2.094982312305e-03   2.802963863485e-03   5.013747500623e+03   9.159300000000e+05   5.153300000000e+03
  5.044200000000e-01   5.044200000000e-01  -6.843454145613e-01   9.190392756729e-05  -1.938270305342e-04   1.369019169894e-05  -7.932130032835e-04   2.820602816775e-03   4.948455112457e+03   9.033700000000e+05   5.086100000000e+03
  5.052200000000e-01   5.052253928312e-01  -6.827492143376e-01   1.342694674233e-03   1.477378165004e-03   4.235758920861e-04  -2.722627845925e-03   2.770363089922e-03   5.057228984335e+03   9.351700000000e+05   5.233800000000e+03
  5.060300000000e-01   5.060400000000e-01  -6.811454125616e-01  -8.726457820197e-04  -4.163660529557e-03  -9.065975369458e-04   1.584810714286e-03   2.774556087016e-03   5.057749005239e+03   9.323800000000e+05   5.196800000000e+03
  5.068400000000e-01   5.068500000000e-01  -6.795454509995e-01   2.492456801560e-03   1.929719161385e-03  -4.478992686494e-04  -4.900961189664e-04   2.807408559508e-03   4.994367327300e+03   9.135600000000e+05   5.127500000000e+03
  5.076500000000e-01   5.076554005102e-01  -6.779545994898e-01  -3.392489079153e-03   9.329654412434e-04   4.194769580606e-04   1.078771289621e-03   2.830381841731e-03   4.914909968657e+03   8.971400000000e+05   5.057300000000e+03
  5.084700000000e-01   5.084700000000e-01  -6.763500000000e-01  -1.126818708514e-03   5.356985047769e-04   1.356187073629e-03  -1.028076004297e-03   2.776202416972e-03   5.035831708864e+03   9.332300000000e+05   5.212600000000e+03
  5.092800000000e-01   5.092853883779e-01  -6.747446116221e-01   2.092476908085e-03  -1.961767611377e-03  -2.537461753319e-03  -1.110819151291e-03   2.748899752628e-03   5.082632093709e+03   9.513100000000e+05   5.295100000000e+03
  5.101000000000e-01   5.101000000000e-01  -6.731500000000e-01  -1.059923678184e-03  -1.733933595133e-03  -3.683634601899e-04  -8.721189924758e-04   2.748465673790e-03   5.095040922309e+03   9.474700000000e+05   5.276300000000e+03
  5.109100000000e-01   5.109100000000e-01  -6.715545566409e-01   1.764637673406e-03  -1.954257997501e-03  -2.332380997653e-04  -6.412305951840e-04   2.758648263190e-03   5.129908868586e+03   9.459700000000e+05   5.282400000000e+03
  5.117300000000e-01   5.117346450559e-01  -6.699607098883e-01  -1.845392740366e-03  -1.105641496922e-03   1.401714520407e-03   1.569576347192e-04   2.766937982680e-03   5.129561482232e+03   9.367800000000e+05   5.262800000000e+03
  5.125500000000e-01   5.125500000000e-01  -6.683554411983e-01  -4.059321666914e-04  -1.242357022097e-03  -2.189364951802e-03   4.814424499481e-04   2.730205065558e-03   5.197440139145e+03   9.645200000000e+05   5.394400000000e+03
  5.133700000000e-01   5.133745416024e-01  -6.667563751928e-01  -2.038261977438e-03   9.365904371178e-04   2.093977359823e-03   1.988323299942e-03   2.733527428068e-03   5.213693700247e+03   9.623700000000e+05   5.380700000000e+03
  5.141900000000e-01   5.141953782597e-01  -6.651538652210e-01   5.808350593513e-04  -1.861272455370e-04  -1.672837629685e-03  -3.196499841107e-04   2.737424892120e-03   5.169180689432e+03   9.573000000000e+05   5.349500000000e+03
  5.150100000000e-01   5.150100000000e-01  -6.635700000000e-01   3.670046180795e-04   9.070218221121e-04  -2.284589661405e-04   1.790112052718e-03   2.739756224557e-03   5.196371522515e+03   9.595300000000e+05   5.366300000000e+03
  5.158400000000e-01   5.158500000000e-01  -6.619500000000e-01   4.298988978388e-04   1.426021975155e-03   1.004256864031e-03   1.876399081060e-04   2.757999349166e-03   5.113161448654e+03   9.468100000000e+05   5.288700000000e+03
