#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8306e-01  -9.5959e-01  -7.4547e-05  -8.5028e-05  -1.5915e-04  -1.6465e-04   4.1865e-04   9.3169e+04   9.4357e+06   5.8903e+04
  3.9127e-01   3.9130e-01  -9.3831e-01   1.5893e-04   2.2456e-04  -2.1129e-04   3.7827e-04   5.5340e-04   1.5184e+05   2.2262e+07   1.3675e+05
  3.9970e-01   3.9974e-01  -9.1695e-01   2.7324e-04  -7.7908e-05  -6.0880e-04  -6.3237e-04   5.4364e-04   1.5714e+05   2.3092e+07   1.4163e+05
  4.0831e-01   4.0836e-01  -8.9563e-01  -9.2297e-05  -6.2085e-05  -3.3754e-04   1.8931e-04   5.3373e-04   1.6370e+05   2.3992e+07   1.4723e+05
  4.1711e-01   4.1714e-01  -8.7435e-01   4.4027e-04  -5.8772e-05   2.4677e-05  -1.6526e-04   5.2177e-04   1.7130e+05   2.5070e+07   1.5401e+05
  4.2610e-01   4.2614e-01  -8.5301e-01  -8.8593e-05   5.1915e-04   3.6174e-05  -9.1321e-05   5.0962e-04   1.7911e+05   2.6290e+07   1.6135e+05
  4.3529e-01   4.3533e-01  -8.3168e-01  -2.3367e-04  -7.4537e-05   6.4014e-05   7.2657e-05   4.9944e-04   1.8638e+05   2.7368e+07   1.6782e+05
  4.4467e-01   4.4471e-01  -8.1037e-01   2.1011e-04  -3.4976e-04   2.1750e-04   9.0403e-06   4.9056e-04   1.9388e+05   2.8380e+07   1.7439e+05
  4.5425e-01   4.5431e-01  -7.8900e-01   7.8869e-05   7.8755e-06  -5.3635e-05   2.3642e-04   4.8028e-04   2.0199e+05   2.9585e+07   1.8180e+05
  4.6404e-01   4.6410e-01  -7.6769e-01   5.4969e-04  -2.8558e-04  -2.9604e-04   2.3920e-05   4.7058e-04   2.1012e+05   3.0814e+07   1.8924e+05
  4.7404e-01   4.7409e-01  -7.4638e-01   6.0994e-05  -1.8826e-04  -2.5865e-04   2.0910e-04   4.6174e-04   2.1881e+05   3.2030e+07   1.9699e+05
  4.8426e-01   4.8431e-01  -7.2505e-01  -1.6619e-04  -2.6559e-04  -3.5817e-05  -1.4080e-04   4.5182e-04   2.2831e+05   3.3436e+07   2.0539e+05
  4.9470e-01   4.9475e-01  -7.0372e-01   1.4869e-04  -3.2728e-04  -5.9413e-06   8.0006e-07   4.4249e-04   2.3764e+05   3.4861e+07   2.1409e+05
  5.0536e-01   5.0541e-01  -6.8241e-01   1.9796e-05   1.0658e-04  -3.5937e-05  -3.9398e-04   4.3546e-04   2.4686e+05   3.6051e+07   2.2170e+05
  5.1625e-01   5.1631e-01  -6.6107e-01  -1.6912e-04   1.7559e-04   3.8156e-04   2.5994e-04   4.2469e-04   2.5889e+05   3.7860e+07   2.3269e+05
  5.2738e-01   5.2743e-01  -6.3975e-01   4.4155e-04   2.8523e-04  -2.5016e-04   6.2286e-05   4.1633e-04   2.6906e+05   3.9382e+07   2.4223e+05
  5.3874e-01   5.3879e-01  -6.1845e-01   1.6633e-04  -1.0001e-04   2.2408e-04   1.0929e-05   4.0767e-04   2.8076e+05   4.1068e+07   2.5229e+05
  5.5035e-01   5.5041e-01  -5.9712e-01   1.0131e-04   1.3453e-04  -1.2187e-04  -7.1213e-06   3.9968e-04   2.9203e+05   4.2758e+07   2.6273e+05
  5.6222e-01   5.6226e-01  -5.7581e-01   4.6358e-04   2.3351e-05   6.8152e-08  -3.1723e-06   3.9138e-04   3.0457e+05   4.4587e+07   2.7391e+05
