#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8305e-01  -9.5962e-01  -2.0583e-04   2.5451e-03  -3.2005e-20   2.9643e-04   9.7670e-04   1.2072e+04   2.4421e+06   1.1160e+04
  3.9127e-01   3.9129e-01  -9.3833e-01  -8.5751e-04   1.4889e-04  -4.0151e-21  -9.2863e-04   1.3287e-03   1.8565e+04   5.3245e+06   2.4295e+04
  3.9970e-01   3.9972e-01  -9.1701e-01   6.2648e-04   1.1272e-03  -1.0205e-21  -1.2076e-03   1.3044e-03   1.9331e+04   5.5218e+06   2.5237e+04
  4.0831e-01   4.0835e-01  -8.9565e-01   5.9754e-04  -5.1901e-04  -5.0175e-21  -7.2549e-04   1.2833e-03   2.0030e+04   5.7100e+06   2.6095e+04
  4.1711e-01   4.1715e-01  -8.7432e-01   8.5819e-05   4.0205e-04  -2.0781e-20   9.7545e-04   1.2305e-03   2.1631e+04   6.2049e+06   2.8337e+04
  4.2610e-01   4.2612e-01  -8.5304e-01  -1.0397e-03   2.8833e-04  -3.2753e-21   2.1345e-04   1.2080e-03   2.2544e+04   6.4386e+06   2.9409e+04
  4.3529e-01   4.3531e-01  -8.3171e-01  -9.0001e-04   1.1652e-03  -5.5307e-20  -9.6232e-05   1.2034e-03   2.2738e+04   6.4871e+06   2.9628e+04
  4.4467e-01   4.4473e-01  -8.1030e-01   1.8976e-04  -7.5670e-05  -4.3260e-20  -1.4027e-03   1.1801e-03   2.3507e+04   6.7416e+06   3.0770e+04
  4.5425e-01   4.5430e-01  -7.8900e-01   3.8888e-05  -4.5634e-04   3.1412e-21   6.0540e-04   1.1531e-03   2.4804e+04   7.0772e+06   3.2325e+04
  4.6404e-01   4.6405e-01  -7.6778e-01  -4.4537e-04  -1.4940e-04   3.4683e-21   1.1344e-03   1.1319e-03   2.5581e+04   7.3296e+06   3.3472e+04
  4.7404e-01   4.7411e-01  -7.4633e-01   4.8548e-04   1.0432e-03  -2.8234e-20   3.8940e-04   1.0986e-03   2.7314e+04   7.7916e+06   3.5615e+04
  4.8426e-01   4.8427e-01  -7.2513e-01   8.3651e-05   1.1214e-03   1.0270e-20  -5.5456e-05   1.0833e-03   2.8094e+04   8.0086e+06   3.6624e+04
  4.9470e-01   4.9473e-01  -7.0376e-01  -1.2093e-04   6.4805e-04   1.8659e-20   3.6218e-04   1.0614e-03   2.9288e+04   8.3442e+06   3.8136e+04
  5.0536e-01   5.0539e-01  -6.8245e-01  -6.8518e-04  -5.6563e-04  -1.4957e-20  -1.1669e-03   1.0405e-03   3.0394e+04   8.6821e+06   3.9654e+04
  5.1625e-01   5.1630e-01  -6.6108e-01   1.6670e-03  -3.2641e-04  -4.0631e-21   5.8682e-05   1.0202e-03   3.1625e+04   9.0333e+06   4.1264e+04
  5.2738e-01   5.2743e-01  -6.3975e-01  -1.7174e-03  -1.3153e-03   2.0146e-20  -3.5532e-04   9.9650e-04   3.3190e+04   9.4699e+06   4.3253e+04
  5.3874e-01   5.3882e-01  -6.1840e-01   5.0340e-04  -2.6427e-04  -1.0610e-20  -9.3004e-04   9.7645e-04   3.4620e+04   9.8552e+06   4.5100e+04
  5.5035e-01   5.5038e-01  -5.9717e-01  -1.7177e-04   5.5776e-04  -4.9043e-20  -7.3123e-04   9.6376e-04   3.5480e+04   1.0114e+07   4.6235e+04
  5.6222e-01   5.6224e-01  -5.7584e-01   3.7117e-04   2.8353e-04   1.2778e-20   1.3911e-03   9.3794e-04   3.7533e+04   1.0678e+07   4.8861e+04
  5.7433e-01   5.7443e-01  -5.5440e-01   1.6267e-03  -5.8383e-04  -5.4354e-21   1.3988e-04   9.1844e-04   3.9085e+04   1.1147e+07   5.0946e+04
  5.8671e-01   5.8678e-01  -5.3312e-01   2.1132e-04   7.9294e-05  -2.5423e-20  -7.3739e-04   8.9703e-04   4.0931e+04   1.1696e+07   5.3428e+04
  5.9936e-01   5.9947e-01  -5.1173e-01  -1.1067e-03  -6.1713e-04  -3.1479e-21   8.5545e-05   8.8143e-04   4.2380e+04   1.2098e+07   5.5265e+04
  6.1227e-01   6.1229e-01  -4.9058e-01   4.3045e-04   3.7567e-04   3.0897e-20  -1.2113e-03   8.6831e-04   4.3772e+04   1.2468e+07   5.7023e+04
  6.2547e-01   6.2553e-01  -4.6918e-01  -5.5072e-04  -6.1887e-04  -3.4345e-20  -2.6650e-04   8.4294e-04   4.6340e+04   1.3230e+07   6.0467e+04
  6.3895e-01   6.3901e-01  -4.4785e-01  -5.3508e-04  -8.2290e-04   2.0847e-20  -8.1302e-04   8.3120e-04   4.7770e+04   1.3608e+07   6.2207e+04
  6.5272e-01   6.5276e-01  -4.2656e-01   4.3537e-04  -7.7069e-05   4.6939e-20  -6.2281e-05   8.1350e-04   4.9752e+04   1.4208e+07   6.4920e+04
  6.6679e-01   6.6688e-01  -4.0517e-01   6.7963e-04   2.2481e-04  -1.6229e-20  -3.9793e-04   7.9988e-04   5.1534e+04   1.4693e+07   6.7179e+04
  6.8116e-01   6.8119e-01  -3.8393e-01  -6.1866e-04  -4.8625e-04  -2.9221e-20   4.0840e-04   7.8178e-04   5.3985e+04   1.5380e+07   7.0317e+04
  6.9584e-01   6.9589e-01  -3.6258e-01  -5.8947e-04  -1.3691e-05   1.3113e-20  -5.1805e-04   7.6779e-04   5.5899e+04   1.5948e+07   7.2879e+04
  7.1083e-01   7.1091e-01  -3.4123e-01   2.9039e-04  -5.6669e-04   3.8231e-21   4.6649e-05   7.5075e-04   5.8555e+04   1.6683e+07   7.6275e+04
  7.2615e-01   7.2622e-01  -3.1992e-01  -5.3398e-04   2.2254e-04  -8.8233e-21   8.2036e-04   7.3435e-04   6.1070e+04   1.7435e+07   7.9704e+04
  7.4180e-01   7.4188e-01  -2.9859e-01   3.3776e-04   5.2823e-04   5.8654e-21   6.0720e-04   7.2188e-04   6.3218e+04   1.8043e+07   8.2453e+04
