#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  3.8301e-01   3.8304e-01  -9.5963e-01  -1.1318e-03  -3.7551e-04   5.6345e-05   1.3434e-03   6.1820e-04   3.6347e+04   5.7328e+06   2.9057e+04
  3.9127e-01   3.9129e-01  -9.3834e-01  -4.9351e-04   1.2511e-04  -1.5956e-04   8.6653e-04   8.4080e-04   5.6115e+04   1.2586e+07   6.3491e+04
  3.9970e-01   3.9975e-01  -9.1694e-01   5.2870e-04  -5.2062e-04   3.7861e-04   1.0337e-04   8.2397e-04   5.8125e+04   1.3095e+07   6.5969e+04
  4.0831e-01   4.0835e-01  -8.9565e-01   2.8331e-04  -3.0773e-05  -3.0227e-04  -5.4699e-04   8.0850e-04   6.0698e+04   1.3606e+07   6.8585e+04
  4.1711e-01   4.1717e-01  -8.7428e-01  -3.1129e-04   5.6759e-04  -6.5054e-04  -8.0766e-05   7.9107e-04   6.3350e+04   1.4222e+07   7.1751e+04
  4.2610e-01   4.2617e-01  -8.5294e-01   4.0339e-04  -8.4098e-04   1.5130e-04   4.9773e-04   7.7298e-04   6.6310e+04   1.4880e+07   7.5043e+04
  4.3529e-01   4.3532e-01  -8.3169e-01  -3.2825e-05  -7.1949e-05  -2.0919e-04  -2.4099e-04   7.5926e-04   6.8789e+04   1.5442e+07   7.7948e+04
  4.4467e-01   4.4471e-01  -8.1036e-01  -5.0146e-04  -4.3064e-04   3.1452e-04   2.4469e-04   7.4569e-04   7.1466e+04   1.5999e+07   8.0772e+04
  4.5425e-01   4.5430e-01  -7.8901e-01   2.2231e-04   9.7362e-04  -4.3987e-04  -5.5289e-04   7.2734e-04   7.5127e+04   1.6818e+07   8.4956e+04
  4.6404e-01   4.6410e-01  -7.6767e-01   1.5017e-04  -3.7192e-04   3.3657e-04  -3.5146e-04   7.1222e-04   7.8089e+04   1.7537e+07   8.8485e+04
  4.7404e-01   4.7409e-01  -7.4638e-01   4.9496e-04   1.0627e-04   2.7574e-04   2.5591e-04   6.9761e-04   8.1388e+04   1.8280e+07   9.2215e+04
