1 1	2 2	0		1 1	2 2	0		    9.191177363
1 1	2 2	0		1 1	2 2	1		   -6.813247503
1 1	2 2	0		1 1	2 2	2		   0.9282074465
1 1	2 2	0		1 1	2 2	3		   0.5273438162
1 1	2 2	0		1 1	2 2	4		  -0.1019104031
1 1	2 2	0		1 1	2 2	5		  0.01776089557
1 1	2 2	0		1 1	2 2	6		 -0.01420087133
1 1	2 2	0		1 1	2 2	7		-0.001059223686
1 1	2 2	0		1 2	2 2	0		1.074934023e-89
1 1	2 2	0		1 2	2 2	1		  1.9772205e-89
1 1	2 2	0		1 2	2 2	2		2.085324699e-89
1 1	2 2	0		1 2	2 2	3		-8.625327298e-90
1 1	2 2	0		1 2	2 2	4		-2.950969814e-89
1 1	2 2	0		1 2	2 2	5		-4.382161676e-89
1 1	2 2	0		1 2	2 2	6		-1.658505157e-88
1 1	2 2	0		1 2	2 2	7		-3.041908688e-88
1 1	2 2	0		1 3	2 0	0		6.497292956e-07
1 1	2 2	0		1 3	2 0	1		-3.381141913e-07
1 1	2 2	0		1 3	2 0	2		-2.361062205e-07
1 1	2 2	0		1 3	2 0	3		-1.186569659e-07
1 1	2 2	0		1 3	2 0	4		-7.731741967e-08
1 1	2 2	0		1 3	2 0	5		-3.445143753e-08
1 1	2 2	0		1 3	2 0	6		-9.811304943e-09
1 1	2 2	0		1 3	2 0	7		-1.324546965e-08
1 1	2 2	0		1 4	2 0	0		 2.12329113e-06
1 1	2 2	0		1 4	2 0	1		-1.102859428e-06
1 1	2 2	0		1 4	2 0	2		-7.710933453e-07
1 1	2 2	0		1 4	2 0	3		-3.877266885e-07
1 1	2 2	0		1 4	2 0	4		-2.530443348e-07
1 1	2 2	0		1 4	2 0	5		-1.135399943e-07
1 1	2 2	0		1 4	2 0	6		-3.377593801e-08
1 1	2 2	0		1 4	2 0	7		-4.565059576e-08
1 1	2 2	0		1 5	2 0	0		4.892910289e-06
1 1	2 2	0		1 5	2 0	1		-2.544662406e-06
1 1	2 2	0		1 5	2 0	2		-1.803472836e-06
1 1	2 2	0		1 5	2 0	3		-9.088571593e-07
1 1	2 2	0		1 5	2 0	4		-5.925384802e-07
1 1	2 2	0		1 5	2 0	5		-2.722443268e-07
1 1	2 2	0		1 5	2 0	6		-9.318944542e-08
1 1	2 2	0		1 5	2 0	7		-1.290245402e-07
1 1	2 2	0		1 6	2 0	0		8.067940351e-06
1 1	2 2	0		1 6	2 0	1		-4.200677137e-06
1 1	2 2	0		1 6	2 0	2		-2.993729521e-06
1 1	2 2	0		1 6	2 0	3		-1.510315065e-06
1 1	2 2	0		1 6	2 0	4		-9.82829524e-07
1 1	2 2	0		1 6	2 0	5		-4.557343329e-07
1 1	2 2	0		1 6	2 0	6		-1.638770035e-07
1 1	2 2	0		1 6	2 0	7		-2.282288074e-07
1 1	2 2	0		1 7	2 0	0		 9.44488281e-06
1 1	2 2	0		1 7	2 0	1		-4.919738106e-06
1 1	2 2	0		1 7	2 0	2		-3.511873836e-06
1 1	2 2	0		1 7	2 0	3		-1.772075244e-06
1 1	2 2	0		1 7	2 0	4		-1.152505641e-06
1 1	2 2	0		1 7	2 0	5		-5.356638396e-07
1 1	2 2	0		1 7	2 0	6		-1.952437384e-07
1 1	2 2	0		1 7	2 0	7		-2.724861404e-07
1 1	2 2	0		2 2	2 2	0		1.074934023e-89
1 1	2 2	0		2 2	2 2	1		  1.9772205e-89
1 1	2 2	0		2 2	2 2	2		2.085324699e-89
1 1	2 2	0		2 2	2 2	3		-8.625327298e-90
1 1	2 2	0		2 2	2 2	4		-2.950969814e-89
1 1	2 2	0		2 2	2 2	5		-4.382161676e-89
1 1	2 2	0		2 2	2 2	6		-1.658505157e-88
1 1	2 2	0		2 2	2 2	7		-3.041908688e-88
1 1	2 2	0		2 3	2 0	0		1.166418437e-90
1 1	2 2	0		2 3	2 0	1		-2.138770032e-90
1 1	2 2	0		2 3	2 0	2		-2.055550342e-89
1 1	2 2	0		2 3	2 0	3		-5.995038723e-89
1 1	2 2	0		2 3	2 0	4		-7.689893044e-89
1 1	2 2	0		2 3	2 0	5		-7.840580942e-89
1 1	2 2	0		2 3	2 0	6		-1.33436224e-88
1 1	2 2	0		2 3	2 0	7		-2.010413907e-89
1 1	2 2	0		2 4	2 0	0		1.166418437e-90
1 1	2 2	0		2 4	2 0	1		-2.138770032e-90
1 1	2 2	0		2 4	2 0	2		-2.055550342e-89
1 1	2 2	0		2 4	2 0	3		-5.995038723e-89
1 1	2 2	0		2 4	2 0	4		-7.689893044e-89
1 1	2 2	0		2 4	2 0	5		-7.840580942e-89
1 1	2 2	0		2 4	2 0	6		-1.33436224e-88
1 1	2 2	0		2 4	2 0	7		-2.010413907e-89
1 1	2 2	0		2 5	2 0	0		1.166418437e-90
1 1	2 2	0		2 5	2 0	1		-2.138770032e-90
1 1	2 2	0		2 5	2 0	2		-2.055550342e-89
1 1	2 2	0		2 5	2 0	3		-5.995038723e-89
1 1	2 2	0		2 5	2 0	4		-7.689893044e-89
1 1	2 2	0		2 5	2 0	5		-7.840580942e-89
1 1	2 2	0		2 5	2 0	6		-1.33436224e-88
1 1	2 2	0		2 5	2 0	7		-2.010413907e-89
1 1	2 2	0		2 6	2 0	0		1.166418437e-90
1 1	2 2	0		2 6	2 0	1		-2.138770032e-90
1 1	2 2	0		2 6	2 0	2		-2.055550342e-89
1 1	2 2	0		2 6	2 0	3		-5.995038723e-89
1 1	2 2	0		2 6	2 0	4		-7.689893044e-89
1 1	2 2	0		2 6	2 0	5		-7.840580942e-89
1 1	2 2	0		2 6	2 0	6		-1.33436224e-88
1 1	2 2	0		2 6	2 0	7		-2.010413907e-89
1 1	2 2	0		2 7	2 0	0		1.166418437e-90
1 1	2 2	0		2 7	2 0	1		-2.138770032e-90
1 1	2 2	0		2 7	2 0	2		-2.055550342e-89
1 1	2 2	0		2 7	2 0	3		-5.995038723e-89
1 1	2 2	0		2 7	2 0	4		-7.689893044e-89
1 1	2 2	0		2 7	2 0	5		-7.840580942e-89
1 1	2 2	0		2 7	2 0	6		-1.33436224e-88
1 1	2 2	0		2 7	2 0	7		-2.010413907e-89
1 1	2 2	0		3 3	0 0	0		6.228807724e-11
1 1	2 2	0		3 3	0 0	1		 1.09336041e-11
1 1	2 2	0		3 3	0 0	2		-5.041726757e-11
1 1	2 2	0		3 3	0 0	3		1.753533251e-12
1 1	2 2	0		3 3	0 0	4		2.813146765e-11
1 1	2 2	0		3 3	0 0	5		3.142043212e-11
1 1	2 2	0		3 3	0 0	6		2.632488445e-11
1 1	2 2	0		3 3	0 0	7		1.445333299e-11
1 1	2 2	0		3 4	0 0	0		2.031390019e-10
1 1	2 2	0		3 4	0 0	1		3.586404686e-11
1 1	2 2	0		3 4	0 0	2		-1.646661373e-10
1 1	2 2	0		3 4	0 0	3		5.364652965e-12
1 1	2 2	0		3 4	0 0	4		9.110030385e-11
1 1	2 2	0		3 4	0 0	5		1.019201894e-10
1 1	2 2	0		3 4	0 0	6		8.633187618e-11
1 1	2 2	0		3 4	0 0	7		4.988647569e-11
1 1	2 2	0		3 5	0 0	0		4.697700352e-10
1 1	2 2	0		3 5	0 0	1		7.625918592e-11
1 1	2 2	0		3 5	0 0	2		-3.974295635e-10
1 1	2 2	0		3 5	0 0	3		2.449212395e-12
1 1	2 2	0		3 5	0 0	4		2.033325578e-10
1 1	2 2	0		3 5	0 0	5		2.311860638e-10
1 1	2 2	0		3 5	0 0	6		2.028116827e-10
1 1	2 2	0		3 5	0 0	7		1.369380914e-10
1 1	2 2	0		3 6	0 0	0		7.764940691e-10
1 1	2 2	0		3 6	0 0	1		1.208016392e-10
1 1	2 2	0		3 6	0 0	2		-6.69170942e-10
1 1	2 2	0		3 6	0 0	3		-3.232655478e-12
1 1	2 2	0		3 6	0 0	4		3.316066883e-10
1 1	2 2	0		3 6	0 0	5		3.789783165e-10
1 1	2 2	0		3 6	0 0	6		3.374696405e-10
1 1	2 2	0		3 6	0 0	7		2.395060326e-10
1 1	2 2	0		3 7	0 0	0		9.098222479e-10
1 1	2 2	0		3 7	0 0	1		1.395880557e-10
1 1	2 2	0		3 7	0 0	2		-7.884013536e-10
1 1	2 2	0		3 7	0 0	3		-6.391300197e-12
1 1	2 2	0		3 7	0 0	4		3.869034291e-10
1 1	2 2	0		3 7	0 0	5		4.428438273e-10
1 1	2 2	0		3 7	0 0	6		3.960201902e-10
1 1	2 2	0		3 7	0 0	7		2.848392873e-10
1 1	2 2	0		4 4	0 0	0		 6.62486352e-10
1 1	2 2	0		4 4	0 0	1		1.174852925e-10
1 1	2 2	0		4 4	0 0	2		-5.377138371e-10
1 1	2 2	0		4 4	0 0	3		1.657652801e-11
1 1	2 2	0		4 4	0 0	4		2.952969878e-10
1 1	2 2	0		4 4	0 0	5		3.306514125e-10
1 1	2 2	0		4 4	0 0	6		2.818015874e-10
1 1	2 2	0		4 4	0 0	7		1.681758189e-10
1 1	2 2	0		4 5	0 0	0		1.531988735e-09
1 1	2 2	0		4 5	0 0	1		2.495288741e-10
1 1	2 2	0		4 5	0 0	2		-1.29776879e-09
1 1	2 2	0		4 5	0 0	3		6.744010207e-12
1 1	2 2	0		4 5	0 0	4		6.607889115e-10
1 1	2 2	0		4 5	0 0	5		7.511460059e-10
1 1	2 2	0		4 5	0 0	6		6.618117494e-10
1 1	2 2	0		4 5	0 0	7		4.516391363e-10
1 1	2 2	0		4 6	0 0	0		2.532261891e-09
1 1	2 2	0		4 6	0 0	1		3.952712407e-10
1 1	2 2	0		4 6	0 0	2		-2.185134035e-09
1 1	2 2	0		4 6	0 0	3		-1.252959191e-11
1 1	2 2	0		4 6	0 0	4		1.078108898e-09
1 1	2 2	0		4 6	0 0	5		1.231921403e-09
1 1	2 2	0		4 6	0 0	6		1.100186447e-09
1 1	2 2	0		4 6	0 0	7		7.865402923e-10
1 1	2 2	0		4 7	0 0	0		 2.96707902e-09
1 1	2 2	0		4 7	0 0	1		4.567267177e-10
1 1	2 2	0		4 7	0 0	2		-2.574473578e-09
1 1	2 2	0		4 7	0 0	3		-2.31191971e-11
1 1	2 2	0		4 7	0 0	4		1.258193208e-09
1 1	2 2	0		4 7	0 0	5		1.440045381e-09
1 1	2 2	0		4 7	0 0	6		1.291182591e-09
1 1	2 2	0		4 7	0 0	7		9.349942976e-10
1 1	2 2	0		5 5	0 0	0		3.545617659e-09
1 1	2 2	0		5 5	0 0	1		5.244837052e-10
1 1	2 2	0		5 5	0 0	2		-3.120400512e-09
1 1	2 2	0		5 5	0 0	3		-4.52308848e-11
1 1	2 2	0		5 5	0 0	4		1.488950461e-09
1 1	2 2	0		5 5	0 0	5		1.712379303e-09
1 1	2 2	0		5 5	0 0	6		 1.53946769e-09
1 1	2 2	0		5 5	0 0	7		1.121310117e-09
1 1	2 2	0		5 6	0 0	0		5.862975379e-09
1 1	2 2	0		5 6	0 0	1		8.263698292e-10
1 1	2 2	0		5 6	0 0	2		-5.246761265e-09
1 1	2 2	0		5 6	0 0	3		-1.233622198e-10
1 1	2 2	0		5 6	0 0	4		2.433987849e-09
1 1	2 2	0		5 6	0 0	5		2.812625183e-09
1 1	2 2	0		5 6	0 0	6		2.550424321e-09
1 1	2 2	0		5 6	0 0	7		1.906885201e-09
1 1	2 2	0		5 7	0 0	0		6.870549832e-09
1 1	2 2	0		5 7	0 0	1		 9.53826177e-10
1 1	2 2	0		5 7	0 0	2		-6.178663926e-09
1 1	2 2	0		5 7	0 0	3		-1.654643262e-10
1 1	2 2	0		5 7	0 0	4		2.841577457e-09
1 1	2 2	0		5 7	0 0	5		  3.2899791e-09
1 1	2 2	0		5 7	0 0	6		2.988796883e-09
1 1	2 2	0		5 7	0 0	7		2.250535847e-09
1 1	2 2	0		6 6	0 0	0		9.696886711e-09
1 1	2 2	0		6 6	0 0	1		1.299739973e-09
1 1	2 2	0		6 6	0 0	2		-8.815402062e-09
1 1	2 2	0		6 6	0 0	3		-2.828953661e-10
1 1	2 2	0		6 6	0 0	4		3.986325963e-09
1 1	2 2	0		6 6	0 0	5		4.626894141e-09
1 1	2 2	0		6 6	0 0	6		4.207876401e-09
1 1	2 2	0		6 6	0 0	7		3.206564675e-09
1 1	2 2	0		6 7	0 0	0		 1.13637265e-08
1 1	2 2	0		6 7	0 0	1		1.498228153e-09
1 1	2 2	0		6 7	0 0	2		-1.037997223e-08
1 1	2 2	0		6 7	0 0	3		-3.581901858e-10
1 1	2 2	0		6 7	0 0	4		4.656766603e-09
1 1	2 2	0		6 7	0 0	5		5.411365013e-09
1 1	2 2	0		6 7	0 0	6		4.929963204e-09
1 1	2 2	0		6 7	0 0	7		3.773182022e-09
1 1	2 2	0		7 7	0 0	0		1.331732223e-08
1 1	2 2	0		7 7	0 0	1		1.726491076e-09
1 1	2 2	0		7 7	0 0	2		-1.22212704e-08
1 1	2 2	0		7 7	0 0	3		-4.504963702e-10
1 1	2 2	0		7 7	0 0	4		5.439207237e-09
1 1	2 2	0		7 7	0 0	5		6.328215458e-09
1 1	2 2	0		7 7	0 0	6		 5.77605555e-09
1 1	2 2	0		7 7	0 0	7		4.441562142e-09

1 1	2 2	1		1 1	2 2	1		    15.30988189
1 1	2 2	1		1 1	2 2	2		   -8.065745814
1 1	2 2	1		1 1	2 2	3		  -0.6693440307
1 1	2 2	1		1 1	2 2	4		 -0.03717616263
1 1	2 2	1		1 1	2 2	5		 -0.07494521728
1 1	2 2	1		1 1	2 2	6		 -0.00293795632
1 1	2 2	1		1 1	2 2	7		 -0.00790220643
1 1	2 2	1		1 2	2 2	0		  1.9772205e-89
1 1	2 2	1		1 2	2 2	1		3.636875217e-89
1 1	2 2	1		1 2	2 2	2		3.835720758e-89
1 1	2 2	1		1 2	2 2	3		-1.586532159e-89
1 1	2 2	1		1 2	2 2	4		-5.427977802e-89
1 1	2 2	1		1 2	2 2	5		-8.060494615e-89
1 1	2 2	1		1 2	2 2	6		-3.050634111e-88
1 1	2 2	1		1 2	2 2	7		-5.595249654e-88
1 1	2 2	1		1 3	2 0	0		1.383389962e-07
1 1	2 2	1		1 3	2 0	1		7.295117217e-07
1 1	2 2	1		1 3	2 0	2		-3.431152493e-07
1 1	2 2	1		1 3	2 0	3		-2.272171952e-07
1 1	2 2	1		1 3	2 0	4		-8.526647079e-08
