KIDS_1p2_m35p1 0.608108108 1.824324324 -35.6099 -34.6209
KIDS_2p4_m35p1 1.824324324 3.0405405405 -35.6099 -34.6209
KIDS_3p6_m35p1 3.0405405405 4.256756757 -35.6099 -34.6209
KIDS_4p9_m35p1 4.256756757 5.472972973 -35.6099 -34.6209
KIDS_6p1_m35p1 5.472972973 6.689189189 -35.6099 -34.6209
KIDS_7p3_m35p1 6.689189189 7.9054054055 -35.6099 -34.6209
KIDS_8p5_m35p1 7.9054054055 9.121621622 -35.6099 -34.6209
KIDS_9p7_m35p1 9.121621622 10.337837838 -35.6099 -34.6209
KIDS_10p9_m35p1 10.337837838 11.554054054 -35.6099 -34.6209
KIDS_12p2_m35p1 11.554054054 12.77027027 -35.6099 -34.6209
KIDS_13p4_m35p1 12.77027027 13.9864864865 -35.6099 -34.6209
KIDS_14p6_m35p1 13.9864864865 15.202702703 -35.6099 -34.6209
KIDS_15p8_m35p1 15.202702703 16.418918919 -35.6099 -34.6209
KIDS_17p0_m35p1 16.418918919 17.635135135 -35.6099 -34.6209
KIDS_18p2_m35p1 17.635135135 18.851351351 -35.6099 -34.6209
KIDS_19p5_m35p1 18.851351351 20.0675675675 -35.6099 -34.6209
KIDS_20p7_m35p1 20.0675675675 21.283783784 -35.6099 -34.6209
KIDS_21p9_m35p1 21.283783784 22.5 -35.6099 -34.6209
KIDS_23p1_m35p1 22.5 23.716216216 -35.6099 -34.6209
KIDS_24p3_m35p1 23.716216216 24.9324324325 -35.6099 -34.6209
KIDS_25p5_m35p1 24.9324324325 26.148648649 -35.6099 -34.6209
KIDS_26p8_m35p1 26.148648649 27.364864865 -35.6099 -34.6209
KIDS_28p0_m35p1 27.364864865 28.581081081 -35.6099 -34.6209
KIDS_29p2_m35p1 28.581081081 29.797297297 -35.6099 -34.6209
KIDS_30p4_m35p1 29.797297297 31.0135135135 -35.6099 -34.6209
KIDS_31p6_m35p1 31.0135135135 32.22972973 -35.6099 -34.6209
KIDS_32p8_m35p1 32.22972973 33.445945946 -35.6099 -34.6209
KIDS_34p1_m35p1 33.445945946 34.662162162 -35.6099 -34.6209
KIDS_35p3_m35p1 34.662162162 35.878378378 -35.6099 -34.6209
KIDS_36p5_m35p1 35.878378378 37.0945945945 -35.6099 -34.6209
KIDS_37p7_m35p1 37.0945945945 38.310810811 -35.6099 -34.6209
KIDS_38p9_m35p1 38.310810811 39.527027027 -35.6099 -34.6209
KIDS_40p1_m35p1 39.527027027 40.743243243 -35.6099 -34.6209
KIDS_41p4_m35p1 40.743243243 41.9594594595 -35.6099 -34.6209
KIDS_42p6_m35p1 41.9594594595 43.175675676 -35.6099 -34.6209
KIDS_43p8_m35p1 43.175675676 44.391891892 -35.6099 -34.6209
KIDS_45p0_m35p1 44.391891892 45.608108108 -35.6099 -34.6209
KIDS_46p2_m35p1 45.608108108 46.824324324 -35.6099 -34.6209
KIDS_47p4_m35p1 46.824324324 48.0405405405 -35.6099 -34.6209
KIDS_48p6_m35p1 48.0405405405 49.256756757 -35.6099 -34.6209
KIDS_49p9_m35p1 49.256756757 50.472972973 -35.6099 -34.6209
KIDS_51p1_m35p1 50.472972973 51.689189189 -35.6099 -34.6209
KIDS_52p3_m35p1 51.689189189 52.9054054055 -35.6099 -34.6209
KIDS_53p5_m35p1 52.9054054055 54.1369888758 -35.6099 -34.6209
KIDS_329p6_m35p1 328.971119233 330.202702703 -35.6099 -34.6209
KIDS_330p8_m35p1 330.202702703 331.418918919 -35.6099 -34.6209
KIDS_332p0_m35p1 331.418918919 332.635135135 -35.6099 -34.6209
KIDS_333p2_m35p1 332.635135135 333.851351351 -35.6099 -34.6209
KIDS_334p5_m35p1 333.851351351 335.067567567 -35.6099 -34.6209
KIDS_335p7_m35p1 335.067567567 336.283783784 -35.6099 -34.6209
KIDS_336p9_m35p1 336.283783784 337.5 -35.6099 -34.6209
KIDS_338p1_m35p1 337.5 338.716216216 -35.6099 -34.6209
