1 1	2 2	0		1 1	2 2	0		     9.19100694	0.0000000000e+00
1 1	2 2	0		1 1	2 2	1		   -6.813263331	0.0000000000e+00
1 1	2 2	0		1 1	2 2	2		   0.9282017715	0.0000000000e+00
1 1	2 2	0		1 1	2 2	3		   0.5273363202	0.0000000000e+00
1 1	2 2	0		1 1	2 2	4		  -0.1019151943	0.0000000000e+00
1 1	2 2	0		1 1	2 2	5		  0.01775346772	0.0000000000e+00
1 1	2 2	0		1 1	2 2	6		 -0.01420934159	0.0000000000e+00
1 1	2 2	0		1 1	2 2	7		-0.001065515487	0.0000000000e+00
1 1	2 2	0		1 2	2 2	0		1.074934023e-89	0.0000000000e+00
1 1	2 2	0		1 2	2 2	1		  1.9772205e-89	0.0000000000e+00
1 1	2 2	0		1 2	2 2	2		2.085324699e-89	0.0000000000e+00
1 1	2 2	0		1 2	2 2	3		-8.625327298e-90	0.0000000000e+00
1 1	2 2	0		1 2	2 2	4		-2.950969814e-89	0.0000000000e+00
1 1	2 2	0		1 2	2 2	5		-4.382161676e-89	0.0000000000e+00
1 1	2 2	0		1 2	2 2	6		-1.658505157e-88	0.0000000000e+00
1 1	2 2	0		1 2	2 2	7		-3.041908688e-88	0.0000000000e+00
1 1	2 2	0		1 3	2 0	0		1.927698802e-06	0.0000000000e+00
1 1	2 2	0		1 3	2 0	1		-1.000786628e-06	0.0000000000e+00
1 1	2 2	0		1 3	2 0	2		-7.075322981e-07	0.0000000000e+00
1 1	2 2	0		1 3	2 0	3		-3.54087712e-07	0.0000000000e+00
1 1	2 2	0		1 3	2 0	4		-2.27485429e-07	0.0000000000e+00
1 1	2 2	0		1 3	2 0	5		-9.917089023e-08	0.0000000000e+00
1 1	2 2	0		1 3	2 0	6		-2.609826703e-08	0.0000000000e+00
1 1	2 2	0		1 3	2 0	7		-3.704508501e-08	0.0000000000e+00
1 1	2 2	0		1 4	2 0	0		2.792066848e-06	0.0000000000e+00
1 1	2 2	0		1 4	2 0	1		-1.447119979e-06	0.0000000000e+00
1 1	2 2	0		1 4	2 0	2		-1.018921907e-06	0.0000000000e+00
1 1	2 2	0		1 4	2 0	3		-5.094594136e-07	0.0000000000e+00
1 1	2 2	0		1 4	2 0	4		-3.275424782e-07	0.0000000000e+00
1 1	2 2	0		1 4	2 0	5		-1.417491858e-07	0.0000000000e+00
1 1	2 2	0		1 4	2 0	6		-3.547084769e-08	0.0000000000e+00
1 1	2 2	0		1 4	2 0	7		-5.001080231e-08	0.0000000000e+00
1 1	2 2	0		1 5	2 0	0		4.754509466e-06	0.0000000000e+00
1 1	2 2	0		1 5	2 0	1		-2.467294069e-06	0.0000000000e+00
1 1	2 2	0		1 5	2 0	2		-1.749192096e-06	0.0000000000e+00
1 1	2 2	0		1 5	2 0	3		-8.761560766e-07	0.0000000000e+00
1 1	2 2	0		1 5	2 0	4		-5.63618937e-07	0.0000000000e+00
1 1	2 2	0		1 5	2 0	5		-2.478853899e-07	0.0000000000e+00
1 1	2 2	0		1 5	2 0	6		-6.917912296e-08	0.0000000000e+00
1 1	2 2	0		1 5	2 0	7		-9.811019432e-08	0.0000000000e+00
1 1	2 2	0		1 6	2 0	0		6.909738634e-06	0.0000000000e+00
1 1	2 2	0		1 6	2 0	1		-3.589691038e-06	0.0000000000e+00
1 1	2 2	0		1 6	2 0	2		-2.556293829e-06	0.0000000000e+00
1 1	2 2	0		1 6	2 0	3		-1.282239635e-06	0.0000000000e+00
1 1	2 2	0		1 6	2 0	4		-8.241023228e-07	0.0000000000e+00
1 1	2 2	0		1 6	2 0	5		-3.660423548e-07	0.0000000000e+00
1 1	2 2	0		1 6	2 0	6		-1.083190443e-07	0.0000000000e+00
1 1	2 2	0		1 6	2 0	7		-1.530901232e-07	0.0000000000e+00
